No.,File Name,Acoustic Event Density,bird,weather
49,009219_20150511_000000.wav,0.1071,0,1
50,009219_20150511_010000.wav,0.0103,0,1
51,009219_20150511_020000.wav,0.0004,0,1
52,009219_20150511_030000.wav,0,0,1
53,009219_20150511_040000.wav,0.0002,0,1
54,009219_20150511_050000.wav,0,0,1
55,009219_20150511_060000.wav,0.0461,5,0
56,009219_20150511_070000.wav,0.0297,5,0
57,009219_20150511_080000.wav,0.0214,4,0
58,009219_20150511_090000.wav,0.0054,4,0
59,009219_20150511_100000.wav,0.0355,3,0
60,009219_20150511_110000.wav,0.0092,3,0
61,009219_20150511_120000.wav,0.0324,3,0
62,009219_20150511_130000.wav,0.0344,3,1
63,009219_20150511_140000.wav,0.0049,2,1
64,009219_20150511_150000.wav,0.0098,3,1
65,009219_20150511_160000.wav,0.0932,2,1
66,009219_20150511_170000.wav,0.0247,2,1
67,009219_20150511_180000.wav,0.0611,2,1
68,009219_20150511_190000.wav,0.0624,2,0
69,009219_20150511_200000.wav,0.0136,2,1
70,009219_20150511_210000.wav,0.0016,1,0
71,009219_20150511_220000.wav,0.0167,0,1
72,009219_20150511_230000.wav,0.2266,0,1
73,009219_20150512_000000.wav,0.0076,0,1
74,009219_20150512_010000.wav,0.0109,0,1
75,009219_20150512_020000.wav,0.0005,0,1
76,009219_20150512_030000.wav,0.0001,0,1
77,009219_20150512_040000.wav,0.0004,0,1
78,009219_20150512_050000.wav,0,3,0
79,009219_20150512_060000.wav,0.0028,5,1
80,009219_20150512_070000.wav,0.045,5,0
81,009219_20150512_080000.wav,0.0552,5,0
82,009219_20150512_090000.wav,0.0759,3,0
83,009219_20150512_100000.wav,0.0353,4,0
84,009219_20150512_110000.wav,0.0501,4,0
85,009219_20150512_120000.wav,0.0721,4,1
86,009219_20150512_130000.wav,0.0152,3,1
87,009219_20150512_140000.wav,0.1059,4,1
88,009219_20150512_150000.wav,0.083,4,0
89,009219_20150512_160000.wav,0.0385,3.5,1
90,009219_20150512_170000.wav,0.0158,2,1
91,009219_20150512_180000.wav,0.0222,3,1
92,009219_20150512_190000.wav,0.0185,3.5,1
93,009219_20150512_200000.wav,0.0648,3.5,0
94,009219_20150512_210000.wav,0.0012,1,1
95,009219_20150512_220000.wav,0.001,0,1
96,009219_20150512_230000.wav,0.0009,0,0
97,009219_20150513_000000.wav,0.0005,0,1
98,009219_20150513_010000.wav,0.0013,0,1
99,009219_20150513_020000.wav,0.0054,0,1
100,009219_20150513_030000.wav,0.0023,0,1
101,009219_20150513_040000.wav,0,0,1
102,009219_20150513_050000.wav,0.0006,3,0
103,009219_20150513_060000.wav,0.0213,5,1
104,009219_20150513_070000.wav,0.0571,5,0
105,009219_20150513_080000.wav,0.0209,5,0
106,009219_20150513_090000.wav,0.0065,4,0
107,009219_20150513_100000.wav,0.0471,4,0
108,009219_20150513_110000.wav,0.0208,4,0
109,009219_20150513_120000.wav,0.0547,4,0
110,009219_20150513_130000.wav,0.0191,4,0
111,009219_20150513_140000.wav,0.0399,4,0
