Period,Sensor,Vegetation,North,West,Calendar Day,Hour,Temp,Humidity,Precipitation,AcouOccupancy_left,Bioac_left,Ht_left,Hf_left,H_left,ACI_left,AEI_villa_left,M_left,NDSI_left,ADI_left,npic_left
1,9219,Riparian,39.98615,86.04456,20150418,17,79,48.2,0,0.342752081,37.27189727,0.975829988,0.972336357,0.948834975,1803.583804,0.907359,8.75E-12,-0.171451111,1.012286,8
1,9219,Riparian,39.98615,86.04456,20150418,18,77.2,47.5,0,0.740855429,36.29168626,0.975824288,0.971099793,0.947622764,1834.966903,0.840627,8.79E-12,-0.423464536,1.691194,7
1,9219,Riparian,39.98615,86.04456,20150418,19,76.5,47.5,0,0.985097736,31.74893646,0.979799972,0.974619764,0.954932418,1800.133844,0.75036,9.55E-12,0.437431532,2.321821,7
1,9219,Riparian,39.98615,86.04456,20150418,20,74.5,49.3,0,1,32.2675876,0.979314748,0.974348019,0.954193385,1804.145227,0.670547,9.39E-12,0.144912864,2.327987,6
1,9219,Riparian,39.98615,86.04456,20150418,21,70.7,48.9,0,1,31.28159923,0.980568825,0.974558106,0.955621296,1819.334672,0.622056,9.65E-12,-0.92400211,2.328017,3
1,9219,Riparian,39.98615,86.04456,20150418,22,67.6,49.5,0,1,30.59080392,0.981076115,0.976196827,0.95772339,1802.61387,0.363727,9.83E-12,0.265709399,2.80764,0
1,9219,Riparian,39.98615,86.04456,20150418,23,66.7,49.6,0,1,31.08920135,0.980888669,0.975843901,0.957194225,1802.01742,0.355207,9.72E-12,-0.748190483,2.81716,2
1,9219,Riparian,39.98615,86.04456,20150419,0,64,65,0,1,30.55829137,0.980999549,0.975983461,0.957439336,1798.553991,0.547207,9.76E-12,-0.697679803,2.546933,3
1,9219,Riparian,39.98615,86.04456,20150419,1,61.3,65,0,0.340236114,30.68875206,0.979032599,0.975165875,0.954719181,1801.228908,0.531855,9.38E-12,-0.833119093,1.602992,1
1,9219,Riparian,39.98615,86.04456,20150419,2,58.8,64,0,0.938068512,30.99240374,0.980495143,0.975730031,0.956698556,1811.564074,0.656316,9.65E-12,-0.68607149,2.290976,4
1,9219,Riparian,39.98615,86.04456,20150419,3,56.1,66,0,0.961486356,30.03487843,0.980621445,0.975593639,0.956688044,1793.473814,0.749248,9.65E-12,-0.906616246,1.954153,1
1,9219,Riparian,39.98615,86.04456,20150419,4,56.1,66,0,1,29.99849113,0.980767655,0.976553838,0.957772419,1806.100898,0.632944,9.74E-12,0.591156745,2.361282,1
1,9219,Riparian,39.98615,86.04456,20150419,5,54.9,44.4,0,1,29.90198749,0.980877557,0.976075151,0.95741021,1795.029329,0.499084,9.72E-12,0.419583122,2.579085,2
1,9219,Riparian,39.98615,86.04456,20150419,6,54.3,70,0,0.592606929,30.22024762,0.980225386,0.976393466,0.957085662,1794.39782,0.953423,9.63E-12,0.172817917,1.907001,0
1,9219,Riparian,39.98615,86.04456,20150419,7,53.6,44.1,0,1,41.57110249,0.980054579,0.967186447,0.947895506,1906.923457,0.491201,9.61E-12,0.898812103,2.65479,11
1,9219,Riparian,39.98615,86.04456,20150419,8,53.8,44.2,0,0.998645249,41.38755245,0.979771659,0.965621075,0.946088163,1848.129603,0.613189,9.55E-12,0.633413185,2.409138,16
1,9219,Riparian,39.98615,86.04456,20150419,9,55.6,45.1,0,0.958776853,34.34539123,0.980965906,0.973900336,0.955363025,1818.63649,0.713834,9.77E-12,0.451697312,2.140061,9
1,9219,Riparian,39.98615,86.04456,20150419,10,57.4,46,0,0.904586801,37.29555277,0.980575386,0.969694397,0.950858458,1831.727189,0.716791,9.69E-12,0.614045055,2.080851,17
1,9219,Riparian,39.98615,86.04456,20150419,11,61,63,0,0.976195084,46.28299503,0.978028622,0.976896776,0.955433008,1956.253933,0.786194,9.17E-12,0.659104375,2.052685,6
1,9219,Riparian,39.98615,86.04456,20150419,12,58.3,80,0.02,0.539384556,51.70483934,0.974109657,0.971894026,0.946731357,2032.819685,0.745015,8.55E-12,0.693970135,1.904973,10
1,9219,Riparian,39.98615,86.04456,20150419,13,56.7,89,0.13,1,49.91057314,0.978952371,0.975939768,0.95539855,1912.32219,0.418745,9.43E-12,0.583355746,2.962547,1
1,9219,Riparian,39.98615,86.04456,20150419,14,57,93,0.36,1,47.80919682,0.977157239,0.97095914,0.948779753,1996.120811,0.611634,9.04E-12,0.724159762,2.205541,0
1,9219,Riparian,39.98615,86.04456,20150419,15,60.1,94,0.46,1,45.99585552,0.979481773,0.968295944,0.948428228,2088.538567,0.674416,9.50E-12,0.827750981,2.264443,4
1,9219,Riparian,39.98615,86.04456,20150419,16,,,,1,45.44171542,0.979235223,0.966681262,0.946608341,2124.300644,0.448877,9.50E-12,0.823219824,2.372209,1
1,9219,Riparian,39.98615,86.04456,20150419,17,,,,1,44.70239892,0.977549988,0.96680866,0.945103794,2315.413855,0.284842,9.30E-12,0.828791462,2.837367,6
1,9219,Riparian,39.98615,86.04456,20150419,18,,,,0.67892394,47.36827338,0.971169988,0.967036298,0.93915663,2107.804715,0.829805,8.03E-12,0.87660877,1.719654,3
1,9219,Riparian,39.98615,86.04456,20150419,19,62.4,95,0.48,0.931488291,43.9606267,0.977799408,0.959588723,0.938285285,1881.779479,0.766883,9.17E-12,0.932249333,1.791752,5
1,9219,Riparian,39.98615,86.04456,20150419,20,61.9,96,0.48,0.806077027,47.33711475,0.961241924,0.950593743,0.913750558,1868.974819,0.82174,7.58E-12,0.990119695,1.731389,10
1,9219,Riparian,39.98615,86.04456,20150419,21,61.3,96,0.48,0.794658409,32.70129261,0.977983768,0.973983224,0.952539784,1816.3634,0.791751,9.22E-12,-0.83704516,0.81746,4
