,AcouOccupancyR,Bioac,Ht,Hf,ACI,AEI,M,NDSI,ADI,NPIC,ASA,BN,SNR,AA,CAE,ADAE,RMS,NA,wav
139,0.000393623,42.50612557,0.96395312,0.965486493,1698.815294,0.954507,7.58E-12,-0.951234477,0.003736,6,0.071458543,0.003703704,0.664600398,0.245620941,0.714285714,0.089396825,728.2599207,614.3173909,15116_PreEvent/015116_20150514_180000.wav
140,0.002755363,39.27332456,0.970613008,0.967605884,1687.992162,0.954545,8.15E-12,-0.941856074,0,2,0.003908921,0.003703704,0.489952372,0.185396575,0.535714286,0.058514286,495.6855641,399.2138887,15116_PreEvent/015116_20150514_190000.wav
141,0.066325526,45.45110551,0.980337036,0.96674418,1685.380833,0.924877,9.79E-12,-0.854108656,0.572952,11,0,0.003703704,0.174322759,0.005313915,0,0,260.7427106,62.11669175,15116_PreEvent/015116_20150514_200000.wav
142,0.510332612,46.76484024,0.980499659,0.966186527,1775.044913,0.890228,9.82E-12,-0.692733831,1.143873,7,0,0,0,0,0,0,209.2454454,-26.96435609,15116_PreEvent/015116_20150514_210000.wav
143,0.36351112,42.18362981,0.980656331,0.966516909,1881.779159,0.912037,9.84E-12,-0.739883914,0.817908,7,0,0,0.019510385,0.000393623,0,0,224.9179489,-27.10137553,15116_PreEvent/015116_20150514_220000.wav
144,0.112969888,36.33727302,0.980691028,0.96563383,1648.959547,0.947939,9.86E-12,-0.918407236,0.260484,2,0,0,0.004583356,0.000393623,0,0,209.2085881,-18.67439801,15116_PreEvent/015116_20150514_230000.wav
145,0.23361543,36.37246376,0.980735672,0.967839209,1655.158252,0.954076,9.92E-12,-0.950096495,0.027375,1,0,0,0,0,0,0,218.2947344,-29.2334691,15116_PreEvent/015116_20150515_000000.wav
146,0.144459752,36.52047767,0.980818544,0.969289259,1661.075478,0.951175,9.88E-12,-0.917962375,0.123725,1,0,0,0,0,0,0,175.7115263,-23.9986799,15116_PreEvent/015116_20150515_010000.wav
147,0.002952175,36.37967083,0.968817239,0.968182531,1667.435884,0.954545,7.59E-12,-0.974158132,0,1,0.12464178,0.003703704,0.547066678,0.428655776,1,0.061602193,780.7723641,840.2487892,15116_PreEvent/015116_20150515_020000.wav
148,0.124778587,35.54921759,0.980796369,0.970877153,1669.992827,0.954129,9.84E-12,-0.904093174,0.018673,1,0,0,0,0,0,0,155.578507,-19.97062051,15116_PreEvent/015116_20150515_030000.wav
149,0.039559142,35.99532883,0.980820115,0.970599835,1667.520947,0.949787,9.91E-12,-0.895109238,0.165536,1,0,0,0,0,0,0,160.4509028,-23.55975282,15116_PreEvent/015116_20150515_040000.wav
150,0.006691596,38.20914936,0.979090956,0.96967145,1719.875785,0.953538,9.53E-12,-0.915972046,0.042062,0,0,0.003703704,0.129072282,0.010431018,0,0,228.4404621,175.9596455,15116_PreEvent/015116_20150515_050000.wav
151,0.004133045,45.24259899,0.969485872,0.967475135,1719.673592,0.954492,7.99E-12,-0.955500853,0.004995,6,0.142349014,0.003703704,0.611584812,0.425113167,1,0.073787856,850.3820474,-118.8885401,15116_PreEvent/015116_20150515_060000.wav
152,0.031686676,43.6949034,0.980250991,0.965577059,1694.474189,0.953123,9.81E-12,-0.963627609,0.05429,7,0.069425004,0.003703704,0.305038826,0.345010825,0.478571429,0.027378752,546.0529184,22.37206118,15116_PreEvent/015116_20150515_070000.wav
153,0.206849045,45.02648477,0.980598409,0.964109077,1688.754273,0.946878,9.82E-12,-0.966316782,0.200296,5,0.065739117,0.003703704,0.241672078,0.341861838,0.328571429,0.023219955,533.3143097,-59.05116479,15116_PreEvent/015116_20150515_080000.wav
154,0.187364692,43.35236978,0.980819921,0.965854154,1692.997467,0.95064,9.90E-12,-0.970828581,0.146778,4,0.055005211,0.003703704,0.238067604,0.304467624,0.185714286,0.02411303,510.6053636,-60.0313418,15116_PreEvent/015116_20150515_090000.wav
155,0.000984058,41.32826994,0.96864731,0.965642946,1679.347921,0.954545,7.96E-12,-0.981784481,0,1,0.219699534,0.003703704,0.765702808,0.61621728,1,0.068562858,1176.843289,541.971052,15116_PreEvent/015116_20150515_100000.wav
156,0.011218264,48.19971406,0.959224407,0.961201584,1785.563395,0.954545,6.39E-12,-0.989693953,0,4,0.602768254,0.003703704,1,0.952568392,1,0.259203969,5489.250184,968.3681772,15116_PreEvent/015116_20150515_110000.wav
157,0.029718559,45.82573473,0.965420159,0.96188063,1945.578392,0.954545,7.01E-12,-0.991089956,0,0,0.733995635,0.003703704,1,0.978153907,1,0.652536677,8135.748378,-2381.109567,15116_PreEvent/015116_20150515_120000.wav
158,0.060224365,63.77783425,0.968919024,0.955275333,2243.773776,0.914895,7.65E-12,-0.548498915,0.842328,12,0.743327508,0.003703704,1,0.992717969,1,0.769121238,8126.663544,-1071.621207,15116_PreEvent/015116_20150515_130000.wav
159,0.024011021,78.14123529,0.963455318,0.963322515,1963.400066,0.900544,6.92E-12,0.088465806,0.962751,14,0.457899338,0.003703704,1,0.863609526,1,0.167594367,3022.411107,590.4291536,15116_PreEvent/015116_20150515_140000.wav
160,0.001574493,41.63765834,0.957188159,0.964648199,1749.132386,0.954545,6.14E-12,-0.990681511,0,1,0.447752368,0.003703704,1,0.762054714,1,0.197915966,3095.44196,-1603.574749,15116_PreEvent/015116_20150515_150000.wav
161,0.001377682,41.15159056,0.958356412,0.966131949,1763.574396,0.954545,6.31E-12,-0.988163049,0,0,0.365922261,0.003703704,0.925069194,0.712064554,1,0.136542787,2268.909952,512.9019139,15116_PreEvent/015116_20150515_160000.wav
162,0.005313915,53.65139869,0.960310532,0.957758134,1870.639383,0.951883,6.45E-12,-0.974624683,0.107563,11,0.563895155,0.003703704,1,0.920488093,1,0.237659374,4633.227924,-2001.521508,15116_PreEvent/015116_20150515_170000.wav
163,0.008462901,43.78604453,0.960297903,0.963663566,1870.561662,0.954545,6.59E-12,-0.991969048,0,1,0.590668438,0.003703704,1,0.927179689,1,0.285540743,5131.091349,-764.8670637,15116_PreEvent/015116_20150515_180000.wav
164,0.000393623,43.70983242,0.95854824,0.96568138,1767.484777,0.95444,6.12E-12,-0.952600238,0.009031,4,0.209280159,0.003703704,0.839768942,0.475890573,1,0.105693794,1233.570256,340.1456122,15116_PreEvent/015116_20150515_190000.wav
165,0.000196812,42.39123809,0.958141433,0.965403385,1773.379303,0.954545,6.11E-12,-0.958681937,0,4,0.208690175,0.003703704,0.823940941,0.479039559,1,0.10016608,1247.82691,-744.4502143,15116_PreEvent/015116_20150515_200000.wav
166,0.001377682,42.93647235,0.976808884,0.965596057,1741.093233,0.94277,9.20E-12,-0.85622987,0.394674,5,0,0.003703704,0.478983239,0.075772486,0.121428571,0.046439909,370.9773966,-117.6076609,15116_PreEvent/015116_20150515_210000.wav
167,0.036016532,57.04395066,0.968958498,0.969053618,1990.059035,0.954545,7.53E-12,-0.964305956,0,1,0.752172076,0.003703704,0.782556062,0.919700846,0.9,0.903366807,8407.689115,-1993.390578,15116_PreEvent/015116_20150515_220000.wav
168,0.164337729,43.68468578,0.980480794,0.967765862,1817.053911,0.910285,9.83E-12,-0.566881741,0.920574,7,0,0,0.023058865,0.000590435,0,0,201.5555609,-27.77693208,15116_PreEvent/015116_20150515_230000.wav
